Iss_Age	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	Ult	Att_Age
18	0.27	0.27	0.26	0.27	0.27	0.27	0.26	0.26	0.27	0.28	0.30	0.32	0.34	0.36	0.40	0.47	0.54	0.62	0.70	0.77	0.83	0.86	0.87	0.87	0.88	0.88	43
19	0.26	0.25	0.25	0.25	0.25	0.25	0.24	0.24	0.26	0.28	0.30	0.32	0.33	0.36	0.41	0.48	0.57	0.66	0.75	0.81	0.86	0.87	0.87	0.88	0.88	0.88	44
20	0.21	0.22	0.23	0.24	0.23	0.22	0.22	0.23	0.26	0.28	0.30	0.31	0.33	0.36	0.43	0.51	0.60	0.68	0.76	0.83	0.87	0.87	0.88	0.88	0.88	0.90	45
21	0.17	0.20	0.22	0.22	0.21	0.20	0.21	0.23	0.26	0.29	0.30	0.31	0.33	0.38	0.45	0.54	0.62	0.69	0.77	0.84	0.87	0.88	0.88	0.88	0.90	0.94	46
22	0.15	0.19	0.20	0.19	0.18	0.19	0.21	0.24	0.27	0.29	0.30	0.32	0.35	0.41	0.49	0.56	0.63	0.70	0.78	0.84	0.88	0.88	0.88	0.90	0.94	0.99	47
23	0.14	0.18	0.18	0.17	0.17	0.19	0.22	0.25	0.28	0.30	0.31	0.33	0.37	0.44	0.52	0.59	0.64	0.71	0.78	0.84	0.88	0.88	0.90	0.94	0.99	1.05	48
24	0.12	0.15	0.16	0.16	0.17	0.19	0.22	0.25	0.28	0.30	0.33	0.36	0.41	0.49	0.56	0.60	0.65	0.71	0.78	0.84	0.88	0.90	0.94	0.99	1.05	1.13	49
25	0.10	0.13	0.14	0.15	0.17	0.20	0.23	0.26	0.29	0.32	0.35	0.40	0.46	0.53	0.59	0.62	0.67	0.73	0.79	0.85	0.90	0.94	0.99	1.05	1.13	1.23	50
26	0.09	0.12	0.14	0.15	0.17	0.20	0.23	0.27	0.31	0.35	0.39	0.44	0.51	0.58	0.61	0.64	0.69	0.75	0.82	0.88	0.94	0.99	1.05	1.13	1.23	1.35	51
27	0.08	0.12	0.14	0.16	0.18	0.20	0.24	0.29	0.33	0.38	0.43	0.49	0.56	0.61	0.64	0.67	0.72	0.78	0.85	0.92	0.99	1.05	1.13	1.23	1.35	1.51	52
28	0.07	0.12	0.14	0.16	0.18	0.21	0.26	0.31	0.36	0.41	0.47	0.53	0.60	0.64	0.66	0.70	0.75	0.82	0.89	0.97	1.05	1.13	1.23	1.35	1.51	1.70	53
29	0.07	0.13	0.15	0.16	0.19	0.23	0.28	0.34	0.39	0.45	0.50	0.56	0.62	0.66	0.69	0.73	0.80	0.88	0.96	1.04	1.13	1.23	1.35	1.51	1.70	1.90	54
30	0.07	0.13	0.15	0.17	0.20	0.25	0.31	0.37	0.42	0.47	0.53	0.59	0.65	0.68	0.72	0.78	0.86	0.95	1.03	1.12	1.23	1.35	1.51	1.70	1.90	2.10	55
31	0.08	0.14	0.16	0.19	0.22	0.28	0.34	0.40	0.45	0.50	0.55	0.61	0.67	0.72	0.77	0.84	0.94	1.03	1.11	1.22	1.35	1.51	1.70	1.90	2.10	2.30	56
32	0.08	0.14	0.18	0.21	0.26	0.31	0.37	0.42	0.46	0.51	0.57	0.63	0.71	0.77	0.84	0.92	1.02	1.11	1.21	1.34	1.51	1.70	1.90	2.10	2.30	2.49	57
33	0.08	0.15	0.20	0.24	0.29	0.34	0.40	0.45	0.48	0.53	0.59	0.66	0.75	0.83	0.92	1.00	1.11	1.21	1.33	1.50	1.70	1.90	2.10	2.30	2.49	2.69	58
34	0.09	0.15	0.22	0.28	0.33	0.37	0.43	0.47	0.50	0.55	0.61	0.71	0.82	0.91	1.00	1.09	1.20	1.32	1.48	1.68	1.90	2.10	2.30	2.49	2.69	2.91	59
35	0.10	0.16	0.25	0.31	0.36	0.41	0.47	0.50	0.52	0.57	0.66	0.78	0.90	1.00	1.09	1.19	1.31	1.45	1.64	1.87	2.10	2.30	2.49	2.69	2.91	3.16	60
36	0.10	0.18	0.27	0.34	0.40	0.45	0.49	0.52	0.55	0.62	0.73	0.86	0.99	1.09	1.18	1.29	1.42	1.59	1.81	2.06	2.30	2.49	2.69	2.91	3.16	3.46	61
37	0.11	0.18	0.29	0.38	0.44	0.49	0.52	0.55	0.59	0.68	0.81	0.94	1.08	1.18	1.28	1.39	1.55	1.74	1.98	2.24	2.49	2.69	2.91	3.16	3.46	3.80	62
38	0.12	0.19	0.31	0.40	0.47	0.51	0.54	0.58	0.65	0.76	0.90	1.04	1.17	1.27	1.37	1.51	1.68	1.90	2.15	2.43	2.69	2.91	3.16	3.46	3.80	4.19	63
39	0.13	0.21	0.32	0.42	0.50	0.54	0.58	0.64	0.72	0.85	0.99	1.13	1.26	1.37	1.48	1.63	1.83	2.06	2.33	2.63	2.91	3.16	3.46	3.80	4.19	4.61	64
40	0.14	0.22	0.33	0.43	0.53	0.58	0.63	0.70	0.79	0.94	1.09	1.22	1.35	1.47	1.61	1.78	1.99	2.24	2.52	2.84	3.16	3.46	3.80	4.19	4.61	5.06	65
41	0.14	0.23	0.34	0.45	0.56	0.63	0.69	0.76	0.88	1.03	1.18	1.31	1.45	1.60	1.76	1.95	2.18	2.43	2.73	3.10	3.46	3.80	4.19	4.61	5.06	5.55	66
42	0.15	0.25	0.35	0.49	0.61	0.68	0.74	0.82	0.96	1.12	1.27	1.40	1.57	1.75	1.93	2.15	2.39	2.67	3.00	3.39	3.80	4.19	4.61	5.06	5.55	6.09	67
43	0.17	0.26	0.37	0.55	0.66	0.73	0.79	0.90	1.05	1.21	1.36	1.51	1.71	1.92	2.13	2.36	2.62	2.92	3.28	3.73	4.19	4.61	5.06	5.55	6.09	6.68	68
44	0.19	0.26	0.40	0.61	0.71	0.78	0.85	0.98	1.13	1.30	1.46	1.64	1.88	2.11	2.34	2.59	2.87	3.20	3.61	4.10	4.61	5.06	5.55	6.09	6.68	7.36	69
45	0.21	0.27	0.45	0.67	0.76	0.84	0.92	1.06	1.22	1.39	1.57	1.80	2.07	2.33	2.57	2.84	3.17	3.54	3.99	4.50	5.06	5.55	6.09	6.68	7.36	8.16	70
46	0.23	0.28	0.51	0.72	0.82	0.91	1.01	1.16	1.32	1.50	1.71	1.98	2.29	2.57	2.83	3.14	3.50	3.91	4.39	4.94	5.55	6.09	6.68	7.36	8.16	9.11	71
47	0.25	0.29	0.60	0.78	0.89	0.99	1.11	1.26	1.43	1.62	1.87	2.19	2.54	2.83	3.13	3.48	3.88	4.32	4.84	5.42	6.09	6.68	7.36	8.16	9.11	10.22	72
48	0.26	0.33	0.71	0.86	0.99	1.09	1.22	1.38	1.54	1.76	2.04	2.40	2.80	3.11	3.43	3.83	4.28	4.76	5.31	5.94	6.68	7.36	8.16	9.11	10.22	11.52	73
49	0.27	0.41	0.82	0.97	1.09	1.20	1.35	1.50	1.68	1.92	2.24	2.63	3.03	3.38	3.73	4.18	4.68	5.20	5.80	6.51	7.36	8.16	9.11	10.22	11.52	13.03	74
50	0.28	0.54	0.94	1.08	1.20	1.33	1.48	1.63	1.83	2.11	2.46	2.85	3.26	3.63	4.04	4.56	5.10	5.66	6.32	7.14	8.16	9.11	10.22	11.52	13.03	14.75	75
51	0.28	0.68	1.03	1.17	1.31	1.46	1.61	1.78	2.02	2.34	2.71	3.09	3.49	3.90	4.39	4.97	5.54	6.14	6.91	7.90	9.11	10.22	11.52	13.03	14.75	16.74	76
52	0.29	0.80	1.10	1.26	1.42	1.59	1.76	1.97	2.24	2.60	2.97	3.33	3.75	4.21	4.78	5.42	6.04	6.76	7.68	8.83	10.22	11.52	13.03	14.75	16.74	19.06	77
53	0.30	0.85	1.14	1.34	1.55	1.74	1.95	2.19	2.51	2.88	3.25	3.60	4.04	4.58	5.23	5.95	6.69	7.58	8.66	9.95	11.52	13.03	14.75	16.74	19.06	21.79	78
54	0.31	0.87	1.19	1.40	1.70	1.92	2.17	2.45	2.80	3.18	3.53	3.89	4.39	5.03	5.79	6.62	7.49	8.54	9.83	11.39	13.03	14.75	16.74	19.06	21.79	25.08	79
55	0.32	0.88	1.21	1.48	1.88	2.15	2.43	2.74	3.11	3.47	3.81	4.21	4.80	5.56	6.44	7.42	8.47	9.69	11.20	13.03	14.75	16.74	19.06	21.79	25.08	28.96	80
56	0.33	0.89	1.23	1.59	2.11	2.42	2.73	3.05	3.41	3.74	4.08	4.55	5.27	6.18	7.21	8.36	9.61	11.01	12.71	14.75	16.74	19.06	21.79	25.08	28.96	33.07	81
57	0.34	0.91	1.25	1.76	2.38	2.72	3.04	3.35	3.67	3.98	4.36	4.95	5.83	6.89	8.11	9.45	10.88	12.47	14.42	16.74	19.06	21.79	25.08	28.96	33.07	37.34	82
58	0.36	0.94	1.30	2.01	2.68	3.03	3.34	3.61	3.90	4.23	4.70	5.45	6.53	7.79	9.19	10.74	12.39	14.20	16.42	19.06	21.79	25.08	28.96	33.07	37.34	42.23	83
59	0.40	0.97	1.43	2.30	3.00	3.33	3.59	3.83	4.11	4.52	5.14	6.12	7.42	8.86	10.48	12.25	14.12	16.13	18.72	21.79	25.08	28.96	33.07	37.34	42.23	48.98	84
60	0.47	1.01	1.67	2.57	3.29	3.58	3.80	4.03	4.37	4.91	5.75	6.98	8.50	10.16	11.99	13.97	16.06	18.38	21.47	25.08	28.96	33.07	37.34	42.23	48.98	56.73	85
61	0.56	1.09	1.97	2.79	3.53	3.77	3.97	4.26	4.72	5.46	6.56	8.05	9.77	11.64	13.66	15.87	18.31	21.29	24.94	28.96	33.07	37.34	42.23	48.98	56.73	64.43	86
62	0.67	1.23	2.32	3.03	3.71	3.94	4.20	4.62	5.25	6.22	7.60	9.33	11.25	13.30	15.54	18.06	21.13	24.67	28.96	33.07	37.34	42.23	48.98	56.73	64.43	73.25	87
63	0.79	1.47	2.66	3.30	3.82	4.16	4.60	5.20	5.99	7.21	8.85	10.78	12.86	15.10	17.63	20.80	24.51	28.71	33.07	37.34	42.23	48.98	56.73	64.43	73.25	83.31	88
64	0.89	1.81	2.93	3.47	3.97	4.51	5.18	5.92	6.92	8.46	10.32	12.36	14.60	17.03	19.96	24.02	28.27	33.07	37.34	42.23	48.98	56.73	64.43	73.25	83.31	94.39	89
65	0.99	2.06	3.14	3.60	4.18	5.00	5.84	6.77	8.09	9.96	12.00	14.12	16.55	19.40	22.82	27.48	32.67	37.34	42.23	48.98	56.73	64.43	73.25	83.31	94.39	106.38	90
66	1.09	2.16	3.30	3.72	4.48	5.56	6.61	7.82	9.49	11.69	13.91	16.23	18.74	22.07	25.92	31.16	37.34	42.23	48.98	56.73	64.43	73.25	83.31	94.39	106.38	119.27	91
67	1.21	2.25	3.43	3.92	4.92	6.22	7.52	9.06	11.09	13.65	16.11	18.61	21.58	25.27	29.13	35.36	42.23	48.98	56.73	64.43	73.25	83.31	94.39	106.38	119.27	133.19	92
68	1.35	2.33	3.57	4.27	5.50	7.01	8.57	10.45	12.90	15.84	18.48	21.46	25.10	28.99	33.81	41.15	48.98	56.73	64.43	73.25	83.31	94.39	106.38	119.27	133.19	147.81	93
69	1.49	2.43	3.72	4.69	6.20	7.91	9.73	11.98	14.90	18.28	21.34	24.93	28.87	33.63	40.58	48.85	56.73	64.43	73.25	83.31	94.39	106.38	119.27	133.19	147.81	163.12	94
70	1.65	2.56	3.92	5.19	7.01	8.87	10.96	13.65	17.11	20.99	24.75	28.57	33.37	39.75	48.11	56.73	64.43	73.25	83.31	94.39	106.38	119.27	133.19	147.81	163.12	180.74	95
71	1.83	2.73	4.17	5.86	7.88	9.88	12.28	15.48	19.56	24.06	28.36	32.43	38.54	46.37	55.62	64.43	73.25	83.31	94.39	106.38	119.27	133.19	147.81	163.12	180.74	201.27	96
72	2.03	2.94	4.50	6.67	8.80	10.93	13.69	17.47	22.32	27.50	32.20	37.15	44.49	53.73	63.93	73.25	83.31	94.39	106.38	119.27	133.19	147.81	163.12	180.74	201.27	223.74	97
73	2.30	3.22	4.93	7.55	9.74	12.05	15.22	19.72	25.45	31.28	36.40	42.64	51.28	61.91	73.25	83.31	94.39	106.38	119.27	133.19	147.81	163.12	180.74	201.27	223.74	248.02	98
74	2.64	3.54	5.49	8.49	10.73	13.25	16.96	22.31	28.96	35.50	41.04	48.50	58.46	70.81	83.31	94.39	106.38	119.27	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	99
75	3.04	3.93	6.19	9.49	11.79	14.61	18.98	25.26	32.94	40.21	46.82	55.89	67.43	81.09	94.39	106.38	119.27	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	100
76	3.46	4.40	7.06	10.57	12.96	16.18	21.29	28.66	37.50	45.50	54.40	65.34	78.58	93.36	106.38	119.27	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	101
77	3.92	4.98	8.09	11.75	14.29	17.98	24.00	32.65	42.76	51.89	63.09	76.08	91.56	106.38	119.27	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	102
78	4.39	5.69	9.33	13.06	15.77	20.10	27.26	37.41	48.83	60.21	73.61	89.26	105.58	119.27	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	103
79	4.72	6.55	10.80	14.48	17.48	22.66	31.23	43.11	56.52	70.91	87.01	104.70	119.27	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	104
80	5.02	7.57	12.46	16.02	19.49	25.94	36.12	50.03	65.71	82.79	101.96	119.27	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	105
81	5.52	8.75	14.30	17.72	22.49	30.40	42.24	58.63	77.18	97.47	117.74	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	106
82	6.22	10.12	16.46	20.53	26.67	36.05	50.48	70.70	93.70	116.08	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	107
83	7.21	11.70	19.04	24.76	31.92	43.30	63.20	88.67	114.60	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	108
84	8.32	13.64	22.51	29.86	38.51	53.73	80.84	109.01	133.19	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	109
85	9.33	16.25	27.15	36.02	47.49	71.17	101.08	129.33	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	110
86	10.31	19.60	32.75	43.45	61.90	95.09	125.71	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	111
87	11.40	23.65	39.51	54.83	85.07	123.76	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	500.00	112
88	12.62	28.28	47.64	72.38	114.48	147.81	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	500.00	500.00	113
89	13.95	33.53	60.19	98.09	142.34	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	500.00	500.00	500.00	114
90	16.69	42.09	86.52	133.89	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	500.00	500.00	500.00	500.00	115
91	22.98	60.53	129.36	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	500.00	500.00	500.00	500.00	500.00	116
92	34.41	90.93	163.12	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	500.00	500.00	500.00	500.00	500.00	500.00	117
93	52.25	120.48	180.74	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	500.00	500.00	500.00	500.00	500.00	500.00	500.00	118
94	78.02	160.08	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	500.00	500.00	500.00	500.00	500.00	500.00	500.00	500.00	119
95	113.49	201.27	223.74	248.02	273.79	299.21	323.14	346.98	370.36	392.92	414.30	434.13	452.05	467.69	480.68	490.65	497.23	500.00	500.00	500.00	500.00	500.00	500.00	500.00	500.00	500.00	120
